"ColorName","ColorId","ColorHex"
"Travesseiro de Pena","F064","#EAE7D5"
"Casquinha de Sorvete","V097","#EEE3CA"
"Sorvete de Creme","D001","#F4EAC9"
"Luzes da Cidade","A035","#F4EAC5"
"Cordão de Ouro","A137","#F8E9BF"
"Gengibre","B031","#F2E7B5"
"Citrino","C027","#F9E7A5"
"Simplicidade","P536","#F9DF90"
"Cobogó","R536","#F8DC86"
"Amarelo-splash","A285","#F5EACE"
"Mitologia","A036","#F3E9C4"
"Pé-de-coelho","C537","#F2E2BD"
"Cesto de Palha","D537","#F5E7C0"
"Velha Infância","G082","#F8E3B4"
"Tesouro Perdido","G081","#F8E5B3"
"Faraó","H082","#F9E1A9"
"Bem-me-quer","Z064","#F7F2D0"
"Bala de Goma","Z003","#F8EFC8"
"Creme de Milho","G073","#F3EFBF"
"Abacaxi","B293","#F3EDB3"
"Palácio Real","B039","#F6EAAA"
"Geléia Real","P538","#F6E99A"
"Manteiga de Garrafa","R538","#FFE485"
"Bem Leve","A539","#F0EED6"
"Passatempo","B539","#F0EECC"
"Doce de Limão","C539","#F0ECC0"
"Sintonia","D539","#F1EEB3"
"Sorvete de Limão","E539","#F0EB9F"
"Amarelo-refrescante","P539","#EEE985"
"Plumária","R539","#EBE46B"
"Acolhedor","A540","#E8E7C2"
"Chá de Erva-doce","A046","#E6ECC6"
"Berilo","B046","#E4EABF"
"Margarita Frozen","A043","#E4EBBA"
"Chiclete de Menta","E540","#E5EDB3"
"Suco-verde","P540","#D7E49D"
"Aloe Vera","R540","#DCE887"
"Menta Suave","A541","#DFEABF"
"Suco de Limão","A047","#E4EBD2"
"Baile da Primavera","G058","#E4EAC4"
"Chenile","V058","#DFE7C1"
"Batida de Limão","E541","#DAE9B1"
"Carambola-verde","P541","#D5E9A3"
"Sorvete de Abacate","R541","#DDE991"
"Água com Gás","P206","#E1EBE4"
"Verde-pálido","Z051","#DAECE0"
"Suspiro Mentolado","C542","#CAEEDD"
"Belíssima","F040","#CAE7D8"
"Rádio Retrô","E542","#BBEBD8"
"Artista de Circo","H039","#BCE8D7"
"Miami Beach","R542","#A4E4CD"
"Água-viva","A318","#D5EEE4"
"Calmaria","B543","#C8E9E7"
"Vida Aquática","C543","#BFE6DA"
"Verde-aquático","A322","#C7EEE5"
"Suspenso no Ar","E543","#B5E2D6"
"Sapatilha Verde","P543","#BDEAE0"
"Soda Italiana","R543","#A4E2D3"
"Porcelana","A544","#DAEEEB"
"Maré Mansa","B544","#D1E9E9"
"Espelho do Céu","C544","#C1E4E7"
"Maré Suave","D544","#C4E8E4"
"Beira-mar","E544","#C4E0E1"
"Azul-refrescante","P544","#A9DEE4"
"Maresia","F018","#D2E2E1"
"Encantado","B545","#C7E2E8"
