"ColorName","ColorId","ColorHex"
"Cuscuz","SW6678","#e39a33"
"Fubá Cremoso","SW9015","#fbe4b3"
"Lua Amarela","SW9016","#fddfa0"
"Varanda Ensolarada","SW9017","#fedf94"
"Mel de Laranjeira","SW9018","#fbd682"
"Jasmim-manga","SW9019","#fbd073"
"Luz do Sol","SW9020","#f4c454"
"Cheio de Alegria","SW6903","#ffc723"
"Amizade","SW6680","#f5e0b1"
"Pipoca com Manteiga","SW6681","#f6dda3"
"Amarelo Nápoles","SW9021","#f6d58f"
"Quermesse","SW6682","#f6c973"
"Abelha-rainha","SW6683","#f1ba55"
"Pastel de Nata","SW6684","#eaae47"
"Bugiganga","SW6685","#d69835"
"Luz de Lampião","SW6687","#f4e1ae"
"Caminho do Sol","SW6688","#f5d68f"
"Pássaro Amarelo","SW9022","#f1cd7b"
"Tucupi","SW6689","#eec25f"
"Aposta Dourada","SW6690","#e1b047"
"Ouro Iluminado","SW6691","#d6a02b"
"Sabor de Ouro","SW6692","#c48919"
"Amarelo Feliz","SW6694","#f5e1ac"
"Raiar do Dia","SW6695","#f7d78a"
"Tropicália","SW6696","#eac365"
"Nugget","SW6697","#dbb04a"
"Reino Dourado","SW6698","#d1a436"
"Ouro-verde","SW6699","#c49832"
"Ouro Envelhecido","SW7700","#8f6c3e"
"Creme de Abacaxi","SW1668","#f2eac3"
"Limonada Gelada","SW1667","#f4e8b2"
"Amarelo Veneziano","SW1666","#f6e3a1"
"Amarelo Divertido","SW6908","#f7e594"
"Amarelo Descolado","SW6913","#edd26f"
"Música Eletrônica","SW6914","#ddb835"
"Citronela","SW6915","#cba901"
"Toalha de Linho","SW6386","#efddc1"
"Rapadurinha de Leite","SW6387","#e8c89e"
"Beira-mar","SW9023","#e1bd8e"
"Ginga Brasileira","SW6388","#d6ad78"
"Abóbora Manteiga","SW6389","#cc9b5c"
"Saudades da Roça","SW6390","#c09056"
"Pé de Moleque","SW6391","#a4763c"
"Puro Marfim","SW6127","#e4ceac"
"Querubim","SW6128","#dcbd92"
"Linhaça Dourada","SW6129","#d2b084"
"Ouro Antigo","SW9024","#cba576"
"Pepita de Ouro","SW6130","#c19763"
"Camurça Macia","SW6131","#ad8451"
"Relíquia de Bronze","SW6132","#906a3a"
"Praia da Costa","SW6120","#dbc7a8"
"Pão de Trigo","SW6121","#cdb592"
"Corcova","SW6122","#c5aa85"
"Trinca-ferro","SW9025","#ba9c75"
"Baguete","SW6123","#b39167"
"Papelão","SW6124","#9c7a56"
"Papel Kraft","SW6125","#8a6645"
"Amarelo Festivo","SW6393","#e9d6b0"
"Biscoito de Maisena","SW6394","#e1c28d"
"Palha de Babaçu","SW9026","#d5b176"
"Alquimia","SW6395","#c99e53"
"Banana Caramelada","SW6396","#bc934d"
"Cangaçeiro","SW6397","#aa803a"
"Arandela Dourada","SW6398","#996f32"
"Amarelo Luz","SW6400","#e4d0a5"
"Patê de Gorgonzola","SW9027","#dcc797"
"Fitoterápico","SW6401","#d2ba83"
"Antiguidade","SW6402","#c2a462"
"Bosque do Entardecer","SW6403","#b89b59"
"Ouro Elegante","SW6404","#9c7f41"
"Sopa de Ervilhas","SW6405","#95793d"
"Ouro Ancestral","SW6407","#ddcda6"
"Ramo de Trigo","SW6408","#cbb584"
"Azeitona em Conserva","SW9028","#bea775"
"Ouro Discreto","SW6409","#b1975f"
"Aroma de Sândalo","SW6410","#9d8344"
"Calango","SW6411","#8e773f"
"Tempero de Ervas","SW6412","#7a6841"
"Plantação de Arroz","SW6414","#dfd4b0"
"Palmital","SW6415","#cfc291"
"Folha de Chá","SW9029","#c4b47d"
"Raiz-forte","SW6416","#bba86a"
"Pinheiro-do-paraná","SW6417","#9c9152"
"Verde Rural","SW6418","#8d844d"
"Mandacaru do Sertão","SW6419","#655f2d"
"Verde Cômico","SW6918","#c6b836"
