"ColorName","ColorId","ColorHex"
"Flor Rara","2201E","#B9888E"
"Sinfonia","2202E","#926369"
"Charmosa","2203E","#704849"
"Luvas","2204E","#F6EAEC"
"Rosa Bebê","2205E","#F6DDE3"
"Quarto de Menina","2206E","#EECAD6"
"Flor de Lótus","2207E","#DCACBC"
"Rosa Suíça","2208E","#CF9AAA"
"Bourbon","2209E","#B27187"
"Vinho Tinto","2210E","#77444B"
"Primeiro Rubor","2211E","#F9EDED"
"Licor de Cerejas","2212E","#F6DFE7"
"Salto Alto","2213E","#F8CEDC"
"Pantera","2214E","#F1B0CE"
"Clube das Meninas","2215E","#F199BF"
"Gerânio","2216E","#DC6D98"
"Aura Rosa","2218E","#F5EEE6"
"Sachê Aromático","2219E","#FEDEE3"
"Dama","2220E","#F8C3D3"
"Bombom de Cereja","2221E","#F7AFC5"
"Brilho Labial","2222E","#EC7CA4"
"Rosa Lívido","2223E","#DC688B"
"Fita de Cetim","2225E","#F4E9ED"
"Flor Dáhlia","2226E","#F1DCE5"
"Névoa de Orquídea","2227E","#E7C6CF"
"Charme","2228E","#D6ACC0"
"Doce de uva","2229E","#BF92A7"
"Amuleto do Amor","2230E","#9D6E80"
"Eterno","2231E","#654A4F"
"Frescor","2232E","#F2E7E5"
"Primavera Ocidental","2233E","#F1D7E2"
"Goma de Mascar","2234E","#E9C4D6"
"Rosa Clássico","2235E","#CF98B7"
"Ametista Lapidada","2236E","#BB7897"
"Geleia de Amora","2237E","#A46985"
"Ameixa Sutil","2238E","#795267"
"Fina Dama","2239E","#F0E0E1"
"Flor de Acácia","2240E","#DFC7D5"
"Beleza da Rosa","2241E","#DDB9C7"
"Contemporânea","2242E","#C39EB0"
"Violeta Peruana","2243E","#B48AA0"
"Poética","2244E","#8A6076"
"Amor & Amoras","2245E","#59494C"
"Floral","2246E","#EBE6E3"
"Flor-de-Lis","2247E","#DBCAD2"
"Lilás Escuro","2248E","#D8C0D0"
"Trono da Realeza","2249E","#BCA0B6"
"Boneca de pano","2250E","#A1849A"
"Bordô","2251E","#88697B"
"Ameixa Escura","2252E","#594C56"
"Melodia","2253E","#F4E9E7"
"Cromático","2254E","#F2D2DF"
"Pelúcia","2255E","#E9BFD5"
"Querida","2256E","#D6A4C1"
"Rósea","2257E","#BD85AC"
"Melodia da Rosa","2258E","#B77897"
"Néctar de Uva","2259E","#654B56"
"Delicada","2260E","#F4E8EC"
"Sentimental","2261E","#F0D6E1"
"Lenda","2262E","#E5BCDE"
"Amor Perfeito","2263E","#CF9BC9"
"Lilás Selvagem","2264E","#CB90C6"
"Verona","2265E","#B270AD"
"Violeta","2266E","#6D4369"
"Doce Flor","2267E","#F3E5E5"
"Frappé","2268E","#EEDDE5"
"Sorvete de Arando","2269E","#F2CCE5"
"Doce Sonho","2270E","#EBADD6"
"Cupido","2271E","#DA90C3"
"Rainha","2272E","#CF67A6"
"Framboesa","2273E","#B23A6A"
"Matiz Rosa","2274E","#EFE5EE"
"Lírio de Corço","2275E","#E3D0E3"
"Espumone de uva","2276E","#CBB2C8"
"Íris","2277E","#BB9AB9"
"Fábula","2278E","#A27FA0"
"Púrpura","2279E","#916C8E"
"Berinjela Indiana","2280E","#644D61"
"Delicadeza","2281E","#F1E4ED"
"Violeta Suave","2282E","#E6CFE1"
"Sutileza","2283E","#E1C8E5"
"Dia da mulher","2284E","#CAA5CE"
"Cristal Ametista","2285E","#BB96C2"
"Majestade","2286E","#9C70A3"
"Violeta de Metila","2287E","#5F4663"
"Amizade","2288E","#F0EAEC"
"Sonata","2289E","#EAD7EA"
"Névoa Delicada","2290E","#DABFDE"
"Persa","2291E","#C8A2D1"
"Mascarado","2292E","#C19AC9"
"Picolé de Uva","2293E","#A073AE"
"Ibiza","2294E","#6A476F"
"Inocência","2295E","#EDE8EC"
"Lilás de Platina","2296E","#E9DDE7"
"Orquidário","2297E","#D4C1DD"
"Chá de Uva","2298E","#BBA5CB"
"Creme de Ameixa","2299E","#A68AB3"
"Sombra Roxa","2300E","#9274A6"
"Roxo Púrpuro","2301E","#5E4B78"
"Pura Graça","2302E","#EFEDF0"
"Gotas de Alfazema","2303E","#E1D6E7"
"Mistério","2304E","#D2C5E3"
"Olímpia Mágica","2305E","#C3ACD6"
"Lilás Puro","2306E","#AC96C4"
"Místico","2307E","#8E75AF"
"Imperial","2308E","#5C466C"
"Orvalho de Orquídea","2309E","#EDE7E9"
"Pétala Suave","2310E","#E4DBE0"
"Neblina de Lavanda","2311E","#D4C6D3"
"Magistral","2312E","#BFAEC1"
"Violeta Egípcia","2313E","#92809A"
"Creme de Amora","2314E","#7B6A7D"
"Cavaleiro Negro","2315E","#46434A"
"Suave Orquídea","2316E","#EBE9EA"
"Violeta Canadense","2317E","#E0DEE1"
"Manto de Pétalas","2318E","#CCC9D2"
"Névoa Mágica","2319E","#AFABB9"
"Poetisa","2320E","#898091"
"Torta de Ameixa","2321E","#746B7E"
"Vinícola","2322E","#5B545B"
"Ingênua","2323E","#E3E2EA"
"Violeta Doce","2324E","#D3D2E4"
"Semente de Orquídea","2325E","#C4C1DC"
"Holambra","2326E","#ACA4D7"
"Doce Violeta","2327E","#8F85BA"
"Plumagem","2328E","#7E75B8"
"Geleia de Uva","2329E","#4B4970"
"Nuvem de Algodão","2330E","#E5E4EA"
"Dama Perfumada","2331E","#D7D6E4"
"Esplendor","2332E","#C3C1D7"
"Folha de Seda","2333E","#AFACCB"
"Violeta Verbena","2334E","#8486AC"
"Íris Selvagem","2335E","#6F7494"
"Sonata Roxo","2336E","#5A5776"
"Estrada da Memória","2337E","#E2E2E4"
"Fragrância de Outono","2338E","#D9DDE9"
"Brilho de Estrela","2339E","#C5CBE5"
"Lavanda Doce","2340E","#ACAFD8"
"Violeta Aveludada","2341E","#9899D1"
"Província Escura","2342E","#6D70B5"
"Majestoso","2343E","#494B74"
"Bolinha de sabão","2344E","#F4F4F2"
"Suave Claridade","2345E","#DFE1ED"
"Floral Seco","2346E","#C2C8E2"
"Flor de Lavanda","2347E","#ADB3D7"
"Campo de Alfazema","2348E","#7C8BC4"
"Preciosa","2349E","#6A75B3"
"Hipnótico","2350E","#474878"
"Foz do Nilo","2351E","#DFE0E2"
"Aspen","2352E","#C9CFDF"
"Brisa de Outono","2353E","#B4BAD4"
"Oráculo","2354E","#939CBB"
"Rio de Planície","2355E","#72819E"
"Flor Exótica","2356E","#667093"
"Íris Intenso","2357E","#4D4F75"
"Céu Claro","2358E","#E9EAEE"
"Orvalho Cintilante","2359E","#D2D7EB"
"Prisma Brilhante","2360E","#BDC8E6"
"Noite Tranquila","2361E","#A6B5DE"
"Olimpo","2362E","#859BD5"
"Voo de Columbina","2363E","#6072B0"
"Senhor do Tempo","2364E","#434B70"
"Cantiga","2365E","#E6ECEC"
"Orfeu","2366E","#D2DAE5"
"Lagoa Azul","2367E","#B9CDE8"
"Horizonte Distante","2368E","#9BB3E3"
"Reino do Príncipe","2369E","#83A0DA"
"Império","2370E","#5A7BBE"
"Marinha Profunda","2371E","#3D4D81"
"Lago Cristalino","2372E","#E1EBEC"
"Brilho da Lua","2373E","#D1DDE9"
"Brisa Azul","2374E","#A9C3E4"
"Joia Rara","2375E","#8CB1DE"
"Reflexo do Lago","2376E","#729CCE"
"Azul Safira","2377E","#4373B3"
"Capitão","2378E","#404C7C"
"Amanhecer de Inverno","2379E","#E4E8E9"
"Azul Bebê","2380E","#C8D9EB"
"Olhar Sonolento","2381E","#B1C6D7"
"Lendário","2382E","#8CA6C7"
